house,load
23/02/2017 00:15,390
23/02/2017 00:30,375
23/02/2017 00:45,360
23/02/2017 01:00,345
23/02/2017 01:15,315
23/02/2017 01:30,330
23/02/2017 01:45,315
23/02/2017 02:00,315
23/02/2017 02:15,300
23/02/2017 02:30,315
23/02/2017 02:45,300
23/02/2017 03:00,300
23/02/2017 03:15,315
23/02/2017 03:30,300
23/02/2017 03:45,285
23/02/2017 04:00,300
23/02/2017 04:15,300
23/02/2017 04:30,315
23/02/2017 04:45,345
23/02/2017 05:00,375
23/02/2017 05:15,360
23/02/2017 05:30,405
23/02/2017 05:45,390
23/02/2017 06:00,390
23/02/2017 06:15,375
23/02/2017 06:30,360
23/02/2017 06:45,330
23/02/2017 07:00,315
23/02/2017 07:15,270
23/02/2017 07:30,255
23/02/2017 07:45,225
23/02/2017 08:00,195
23/02/2017 08:15,180
23/02/2017 08:30,135
23/02/2017 08:45,90
23/02/2017 09:00,90
23/02/2017 09:15,75
23/02/2017 09:30,60
23/02/2017 09:45,60
23/02/2017 10:00,135
23/02/2017 10:15,75
23/02/2017 10:30,15
23/02/2017 10:45,90
23/02/2017 11:00,30
23/02/2017 11:15,30
23/02/2017 11:30,15
23/02/2017 11:45,15
23/02/2017 12:00,15
23/02/2017 12:15,15
23/02/2017 12:30,15
23/02/2017 12:45,15
23/02/2017 13:00,30
23/02/2017 13:15,45
23/02/2017 13:30,45
23/02/2017 13:45,45
23/02/2017 14:00,45
23/02/2017 14:15,60
23/02/2017 14:30,75
23/02/2017 14:45,120
23/02/2017 15:00,120
23/02/2017 15:15,135
23/02/2017 15:30,135
23/02/2017 15:45,195
23/02/2017 16:00,195
23/02/2017 16:15,210
23/02/2017 16:30,225
23/02/2017 16:45,240
23/02/2017 17:00,255
23/02/2017 17:15,285
23/02/2017 17:30,300
23/02/2017 17:45,300
23/02/2017 18:00,300
23/02/2017 18:15,360
23/02/2017 18:30,405
23/02/2017 18:45,450
23/02/2017 19:00,465
23/02/2017 19:15,480
23/02/2017 19:30,495
23/02/2017 19:45,495
23/02/2017 20:00,510
23/02/2017 20:15,555
23/02/2017 20:30,555
23/02/2017 20:45,540
23/02/2017 21:00,540
23/02/2017 21:15,525
23/02/2017 21:30,540
23/02/2017 21:45,555
23/02/2017 22:00,540
23/02/2017 22:15,510
23/02/2017 22:30,510
23/02/2017 22:45,480
23/02/2017 23:00,480
23/02/2017 23:15,480
23/02/2017 23:30,480
23/02/2017 23:45,465
24/02/2017 00:00,450
