house,load
23/02/2017 00:15,234
23/02/2017 00:30,225
23/02/2017 00:45,216
23/02/2017 01:00,207
23/02/2017 01:15,189
23/02/2017 01:30,198
23/02/2017 01:45,189
23/02/2017 02:00,189
23/02/2017 02:15,180
23/02/2017 02:30,189
23/02/2017 02:45,180
23/02/2017 03:00,180
23/02/2017 03:15,189
23/02/2017 03:30,180
23/02/2017 03:45,171
23/02/2017 04:00,180
23/02/2017 04:15,180
23/02/2017 04:30,189
23/02/2017 04:45,207
23/02/2017 05:00,225
23/02/2017 05:15,216
23/02/2017 05:30,243
23/02/2017 05:45,234
23/02/2017 06:00,234
23/02/2017 06:15,225
23/02/2017 06:30,216
23/02/2017 06:45,198
23/02/2017 07:00,189
23/02/2017 07:15,162
23/02/2017 07:30,153
23/02/2017 07:45,135
23/02/2017 08:00,117
23/02/2017 08:15,108
23/02/2017 08:30,81
23/02/2017 08:45,54
23/02/2017 09:00,54
23/02/2017 09:15,45
23/02/2017 09:30,36
23/02/2017 09:45,36
23/02/2017 10:00,81
23/02/2017 10:15,45
23/02/2017 10:30,9
23/02/2017 10:45,54
23/02/2017 11:00,18
23/02/2017 11:15,18
23/02/2017 11:30,9
23/02/2017 11:45,9
23/02/2017 12:00,9
23/02/2017 12:15,9
23/02/2017 12:30,9
23/02/2017 12:45,9
23/02/2017 13:00,18
23/02/2017 13:15,27
23/02/2017 13:30,27
23/02/2017 13:45,27
23/02/2017 14:00,27
23/02/2017 14:15,36
23/02/2017 14:30,45
23/02/2017 14:45,72
23/02/2017 15:00,72
23/02/2017 15:15,81
23/02/2017 15:30,81
23/02/2017 15:45,117
23/02/2017 16:00,117
23/02/2017 16:15,126
23/02/2017 16:30,135
23/02/2017 16:45,144
23/02/2017 17:00,153
23/02/2017 17:15,171
23/02/2017 17:30,180
23/02/2017 17:45,180
23/02/2017 18:00,180
23/02/2017 18:15,216
23/02/2017 18:30,243
23/02/2017 18:45,270
23/02/2017 19:00,279
23/02/2017 19:15,288
23/02/2017 19:30,297
23/02/2017 19:45,297
23/02/2017 20:00,306
23/02/2017 20:15,333
23/02/2017 20:30,333
23/02/2017 20:45,324
23/02/2017 21:00,324
23/02/2017 21:15,315
23/02/2017 21:30,324
23/02/2017 21:45,333
23/02/2017 22:00,324
23/02/2017 22:15,306
23/02/2017 22:30,306
23/02/2017 22:45,288
23/02/2017 23:00,288
23/02/2017 23:15,288
23/02/2017 23:30,288
23/02/2017 23:45,279
24/02/2017 00:00,270
