house,load
23/02/2017 00:15,546
23/02/2017 00:30,525
23/02/2017 00:45,504
23/02/2017 01:00,483
23/02/2017 01:15,441
23/02/2017 01:30,462
23/02/2017 01:45,441
23/02/2017 02:00,441
23/02/2017 02:15,420
23/02/2017 02:30,441
23/02/2017 02:45,420
23/02/2017 03:00,420
23/02/2017 03:15,441
23/02/2017 03:30,420
23/02/2017 03:45,399
23/02/2017 04:00,420
23/02/2017 04:15,420
23/02/2017 04:30,441
23/02/2017 04:45,483
23/02/2017 05:00,525
23/02/2017 05:15,504
23/02/2017 05:30,567
23/02/2017 05:45,546
23/02/2017 06:00,546
23/02/2017 06:15,525
23/02/2017 06:30,504
23/02/2017 06:45,462
23/02/2017 07:00,441
23/02/2017 07:15,378
23/02/2017 07:30,357
23/02/2017 07:45,315
23/02/2017 08:00,273
23/02/2017 08:15,252
23/02/2017 08:30,189
23/02/2017 08:45,126
23/02/2017 09:00,126
23/02/2017 09:15,105
23/02/2017 09:30,84
23/02/2017 09:45,84
23/02/2017 10:00,189
23/02/2017 10:15,105
23/02/2017 10:30,21
23/02/2017 10:45,126
23/02/2017 11:00,42
23/02/2017 11:15,42
23/02/2017 11:30,21
23/02/2017 11:45,21
23/02/2017 12:00,21
23/02/2017 12:15,21
23/02/2017 12:30,21
23/02/2017 12:45,21
23/02/2017 13:00,42
23/02/2017 13:15,63
23/02/2017 13:30,63
23/02/2017 13:45,63
23/02/2017 14:00,63
23/02/2017 14:15,84
23/02/2017 14:30,105
23/02/2017 14:45,168
23/02/2017 15:00,168
23/02/2017 15:15,189
23/02/2017 15:30,189
23/02/2017 15:45,273
23/02/2017 16:00,273
23/02/2017 16:15,294
23/02/2017 16:30,315
23/02/2017 16:45,336
23/02/2017 17:00,357
23/02/2017 17:15,399
23/02/2017 17:30,420
23/02/2017 17:45,420
23/02/2017 18:00,420
23/02/2017 18:15,504
23/02/2017 18:30,567
23/02/2017 18:45,630
23/02/2017 19:00,651
23/02/2017 19:15,672
23/02/2017 19:30,693
23/02/2017 19:45,693
23/02/2017 20:00,714
23/02/2017 20:15,777
23/02/2017 20:30,777
23/02/2017 20:45,756
23/02/2017 21:00,756
23/02/2017 21:15,735
23/02/2017 21:30,756
23/02/2017 21:45,777
23/02/2017 22:00,756
23/02/2017 22:15,714
23/02/2017 22:30,714
23/02/2017 22:45,672
23/02/2017 23:00,672
23/02/2017 23:15,672
23/02/2017 23:30,672
23/02/2017 23:45,651
24/02/2017 00:00,630
