house,load
23/02/2017 00:15,468
23/02/2017 00:30,450
23/02/2017 00:45,432
23/02/2017 01:00,414
23/02/2017 01:15,378
23/02/2017 01:30,396
23/02/2017 01:45,378
23/02/2017 02:00,378
23/02/2017 02:15,360
23/02/2017 02:30,378
23/02/2017 02:45,360
23/02/2017 03:00,360
23/02/2017 03:15,378
23/02/2017 03:30,360
23/02/2017 03:45,342
23/02/2017 04:00,360
23/02/2017 04:15,360
23/02/2017 04:30,378
23/02/2017 04:45,414
23/02/2017 05:00,450
23/02/2017 05:15,432
23/02/2017 05:30,486
23/02/2017 05:45,468
23/02/2017 06:00,468
23/02/2017 06:15,450
23/02/2017 06:30,432
23/02/2017 06:45,396
23/02/2017 07:00,378
23/02/2017 07:15,324
23/02/2017 07:30,306
23/02/2017 07:45,270
23/02/2017 08:00,234
23/02/2017 08:15,216
23/02/2017 08:30,162
23/02/2017 08:45,108
23/02/2017 09:00,108
23/02/2017 09:15,90
23/02/2017 09:30,72
23/02/2017 09:45,72
23/02/2017 10:00,162
23/02/2017 10:15,90
23/02/2017 10:30,18
23/02/2017 10:45,108
23/02/2017 11:00,36
23/02/2017 11:15,36
23/02/2017 11:30,18
23/02/2017 11:45,18
23/02/2017 12:00,18
23/02/2017 12:15,18
23/02/2017 12:30,18
23/02/2017 12:45,18
23/02/2017 13:00,36
23/02/2017 13:15,54
23/02/2017 13:30,54
23/02/2017 13:45,54
23/02/2017 14:00,54
23/02/2017 14:15,72
23/02/2017 14:30,90
23/02/2017 14:45,144
23/02/2017 15:00,144
23/02/2017 15:15,162
23/02/2017 15:30,162
23/02/2017 15:45,234
23/02/2017 16:00,234
23/02/2017 16:15,252
23/02/2017 16:30,270
23/02/2017 16:45,288
23/02/2017 17:00,306
23/02/2017 17:15,342
23/02/2017 17:30,360
23/02/2017 17:45,360
23/02/2017 18:00,360
23/02/2017 18:15,432
23/02/2017 18:30,486
23/02/2017 18:45,540
23/02/2017 19:00,558
23/02/2017 19:15,576
23/02/2017 19:30,594
23/02/2017 19:45,594
23/02/2017 20:00,612
23/02/2017 20:15,666
23/02/2017 20:30,666
23/02/2017 20:45,648
23/02/2017 21:00,648
23/02/2017 21:15,630
23/02/2017 21:30,648
23/02/2017 21:45,666
23/02/2017 22:00,648
23/02/2017 22:15,612
23/02/2017 22:30,612
23/02/2017 22:45,576
23/02/2017 23:00,576
23/02/2017 23:15,576
23/02/2017 23:30,576
23/02/2017 23:45,558
24/02/2017 00:00,540
