house,load
23/02/2017 00:15,624
23/02/2017 00:30,600
23/02/2017 00:45,576
23/02/2017 01:00,552
23/02/2017 01:15,504
23/02/2017 01:30,528
23/02/2017 01:45,504
23/02/2017 02:00,504
23/02/2017 02:15,480
23/02/2017 02:30,504
23/02/2017 02:45,480
23/02/2017 03:00,480
23/02/2017 03:15,504
23/02/2017 03:30,480
23/02/2017 03:45,456
23/02/2017 04:00,480
23/02/2017 04:15,480
23/02/2017 04:30,504
23/02/2017 04:45,552
23/02/2017 05:00,600
23/02/2017 05:15,576
23/02/2017 05:30,648
23/02/2017 05:45,624
23/02/2017 06:00,624
23/02/2017 06:15,600
23/02/2017 06:30,576
23/02/2017 06:45,528
23/02/2017 07:00,504
23/02/2017 07:15,432
23/02/2017 07:30,408
23/02/2017 07:45,360
23/02/2017 08:00,312
23/02/2017 08:15,288
23/02/2017 08:30,216
23/02/2017 08:45,144
23/02/2017 09:00,144
23/02/2017 09:15,120
23/02/2017 09:30,96
23/02/2017 09:45,96
23/02/2017 10:00,216
23/02/2017 10:15,120
23/02/2017 10:30,24
23/02/2017 10:45,144
23/02/2017 11:00,48
23/02/2017 11:15,48
23/02/2017 11:30,24
23/02/2017 11:45,24
23/02/2017 12:00,24
23/02/2017 12:15,24
23/02/2017 12:30,24
23/02/2017 12:45,24
23/02/2017 13:00,48
23/02/2017 13:15,72
23/02/2017 13:30,72
23/02/2017 13:45,72
23/02/2017 14:00,72
23/02/2017 14:15,96
23/02/2017 14:30,120
23/02/2017 14:45,192
23/02/2017 15:00,192
23/02/2017 15:15,216
23/02/2017 15:30,216
23/02/2017 15:45,312
23/02/2017 16:00,312
23/02/2017 16:15,336
23/02/2017 16:30,360
23/02/2017 16:45,384
23/02/2017 17:00,408
23/02/2017 17:15,456
23/02/2017 17:30,480
23/02/2017 17:45,480
23/02/2017 18:00,480
23/02/2017 18:15,576
23/02/2017 18:30,648
23/02/2017 18:45,720
23/02/2017 19:00,744
23/02/2017 19:15,768
23/02/2017 19:30,792
23/02/2017 19:45,792
23/02/2017 20:00,816
23/02/2017 20:15,888
23/02/2017 20:30,888
23/02/2017 20:45,864
23/02/2017 21:00,864
23/02/2017 21:15,840
23/02/2017 21:30,864
23/02/2017 21:45,888
23/02/2017 22:00,864
23/02/2017 22:15,816
23/02/2017 22:30,816
23/02/2017 22:45,768
23/02/2017 23:00,768
23/02/2017 23:15,768
23/02/2017 23:30,768
23/02/2017 23:45,744
24/02/2017 00:00,720
