house,load
23/02/2017 00:15,156
23/02/2017 00:30,150
23/02/2017 00:45,144
23/02/2017 01:00,138
23/02/2017 01:15,126
23/02/2017 01:30,132
23/02/2017 01:45,126
23/02/2017 02:00,126
23/02/2017 02:15,120
23/02/2017 02:30,126
23/02/2017 02:45,120
23/02/2017 03:00,120
23/02/2017 03:15,126
23/02/2017 03:30,120
23/02/2017 03:45,114
23/02/2017 04:00,120
23/02/2017 04:15,120
23/02/2017 04:30,126
23/02/2017 04:45,138
23/02/2017 05:00,150
23/02/2017 05:15,144
23/02/2017 05:30,162
23/02/2017 05:45,156
23/02/2017 06:00,156
23/02/2017 06:15,150
23/02/2017 06:30,144
23/02/2017 06:45,132
23/02/2017 07:00,126
23/02/2017 07:15,108
23/02/2017 07:30,102
23/02/2017 07:45,90
23/02/2017 08:00,78
23/02/2017 08:15,72
23/02/2017 08:30,54
23/02/2017 08:45,36
23/02/2017 09:00,36
23/02/2017 09:15,30
23/02/2017 09:30,24
23/02/2017 09:45,24
23/02/2017 10:00,54
23/02/2017 10:15,30
23/02/2017 10:30,6
23/02/2017 10:45,36
23/02/2017 11:00,12
23/02/2017 11:15,12
23/02/2017 11:30,6
23/02/2017 11:45,6
23/02/2017 12:00,6
23/02/2017 12:15,6
23/02/2017 12:30,6
23/02/2017 12:45,6
23/02/2017 13:00,12
23/02/2017 13:15,18
23/02/2017 13:30,18
23/02/2017 13:45,18
23/02/2017 14:00,18
23/02/2017 14:15,24
23/02/2017 14:30,30
23/02/2017 14:45,48
23/02/2017 15:00,48
23/02/2017 15:15,54
23/02/2017 15:30,54
23/02/2017 15:45,78
23/02/2017 16:00,78
23/02/2017 16:15,84
23/02/2017 16:30,90
23/02/2017 16:45,96
23/02/2017 17:00,102
23/02/2017 17:15,114
23/02/2017 17:30,120
23/02/2017 17:45,120
23/02/2017 18:00,120
23/02/2017 18:15,144
23/02/2017 18:30,162
23/02/2017 18:45,180
23/02/2017 19:00,186
23/02/2017 19:15,192
23/02/2017 19:30,198
23/02/2017 19:45,198
23/02/2017 20:00,204
23/02/2017 20:15,222
23/02/2017 20:30,222
23/02/2017 20:45,216
23/02/2017 21:00,216
23/02/2017 21:15,210
23/02/2017 21:30,216
23/02/2017 21:45,222
23/02/2017 22:00,216
23/02/2017 22:15,204
23/02/2017 22:30,204
23/02/2017 22:45,192
23/02/2017 23:00,192
23/02/2017 23:15,192
23/02/2017 23:30,192
23/02/2017 23:45,186
24/02/2017 00:00,180
