house,load
23/02/2017 00:15,78
23/02/2017 00:30,75
23/02/2017 00:45,72
23/02/2017 01:00,69
23/02/2017 01:15,63
23/02/2017 01:30,66
23/02/2017 01:45,63
23/02/2017 02:00,63
23/02/2017 02:15,60
23/02/2017 02:30,63
23/02/2017 02:45,60
23/02/2017 03:00,60
23/02/2017 03:15,63
23/02/2017 03:30,60
23/02/2017 03:45,57
23/02/2017 04:00,60
23/02/2017 04:15,60
23/02/2017 04:30,63
23/02/2017 04:45,69
23/02/2017 05:00,75
23/02/2017 05:15,72
23/02/2017 05:30,81
23/02/2017 05:45,78
23/02/2017 06:00,78
23/02/2017 06:15,75
23/02/2017 06:30,72
23/02/2017 06:45,66
23/02/2017 07:00,63
23/02/2017 07:15,54
23/02/2017 07:30,51
23/02/2017 07:45,45
23/02/2017 08:00,39
23/02/2017 08:15,36
23/02/2017 08:30,27
23/02/2017 08:45,18
23/02/2017 09:00,18
23/02/2017 09:15,15
23/02/2017 09:30,12
23/02/2017 09:45,12
23/02/2017 10:00,27
23/02/2017 10:15,15
23/02/2017 10:30,3
23/02/2017 10:45,18
23/02/2017 11:00,6
23/02/2017 11:15,6
23/02/2017 11:30,3
23/02/2017 11:45,3
23/02/2017 12:00,3
23/02/2017 12:15,3
23/02/2017 12:30,3
23/02/2017 12:45,3
23/02/2017 13:00,6
23/02/2017 13:15,9
23/02/2017 13:30,9
23/02/2017 13:45,9
23/02/2017 14:00,9
23/02/2017 14:15,12
23/02/2017 14:30,15
23/02/2017 14:45,24
23/02/2017 15:00,24
23/02/2017 15:15,27
23/02/2017 15:30,27
23/02/2017 15:45,39
23/02/2017 16:00,39
23/02/2017 16:15,42
23/02/2017 16:30,45
23/02/2017 16:45,48
23/02/2017 17:00,51
23/02/2017 17:15,57
23/02/2017 17:30,60
23/02/2017 17:45,60
23/02/2017 18:00,60
23/02/2017 18:15,72
23/02/2017 18:30,81
23/02/2017 18:45,90
23/02/2017 19:00,93
23/02/2017 19:15,96
23/02/2017 19:30,99
23/02/2017 19:45,99
23/02/2017 20:00,102
23/02/2017 20:15,111
23/02/2017 20:30,111
23/02/2017 20:45,108
23/02/2017 21:00,108
23/02/2017 21:15,105
23/02/2017 21:30,108
23/02/2017 21:45,111
23/02/2017 22:00,108
23/02/2017 22:15,102
23/02/2017 22:30,102
23/02/2017 22:45,96
23/02/2017 23:00,96
23/02/2017 23:15,96
23/02/2017 23:30,96
23/02/2017 23:45,93
24/02/2017 00:00,90
