house,load
23/02/2017 00:15,702
23/02/2017 00:30,675
23/02/2017 00:45,648
23/02/2017 01:00,621
23/02/2017 01:15,567
23/02/2017 01:30,594
23/02/2017 01:45,567
23/02/2017 02:00,567
23/02/2017 02:15,540
23/02/2017 02:30,567
23/02/2017 02:45,540
23/02/2017 03:00,540
23/02/2017 03:15,567
23/02/2017 03:30,540
23/02/2017 03:45,513
23/02/2017 04:00,540
23/02/2017 04:15,540
23/02/2017 04:30,567
23/02/2017 04:45,621
23/02/2017 05:00,675
23/02/2017 05:15,648
23/02/2017 05:30,729
23/02/2017 05:45,702
23/02/2017 06:00,702
23/02/2017 06:15,675
23/02/2017 06:30,648
23/02/2017 06:45,594
23/02/2017 07:00,567
23/02/2017 07:15,486
23/02/2017 07:30,459
23/02/2017 07:45,405
23/02/2017 08:00,351
23/02/2017 08:15,324
23/02/2017 08:30,243
23/02/2017 08:45,162
23/02/2017 09:00,162
23/02/2017 09:15,135
23/02/2017 09:30,108
23/02/2017 09:45,108
23/02/2017 10:00,243
23/02/2017 10:15,135
23/02/2017 10:30,27
23/02/2017 10:45,162
23/02/2017 11:00,54
23/02/2017 11:15,54
23/02/2017 11:30,27
23/02/2017 11:45,27
23/02/2017 12:00,27
23/02/2017 12:15,27
23/02/2017 12:30,27
23/02/2017 12:45,27
23/02/2017 13:00,54
23/02/2017 13:15,81
23/02/2017 13:30,81
23/02/2017 13:45,81
23/02/2017 14:00,81
23/02/2017 14:15,108
23/02/2017 14:30,135
23/02/2017 14:45,216
23/02/2017 15:00,216
23/02/2017 15:15,243
23/02/2017 15:30,243
23/02/2017 15:45,351
23/02/2017 16:00,351
23/02/2017 16:15,378
23/02/2017 16:30,405
23/02/2017 16:45,432
23/02/2017 17:00,459
23/02/2017 17:15,513
23/02/2017 17:30,540
23/02/2017 17:45,540
23/02/2017 18:00,540
23/02/2017 18:15,648
23/02/2017 18:30,729
23/02/2017 18:45,810
23/02/2017 19:00,837
23/02/2017 19:15,864
23/02/2017 19:30,891
23/02/2017 19:45,891
23/02/2017 20:00,918
23/02/2017 20:15,999
23/02/2017 20:30,999
23/02/2017 20:45,972
23/02/2017 21:00,972
23/02/2017 21:15,945
23/02/2017 21:30,972
23/02/2017 21:45,999
23/02/2017 22:00,972
23/02/2017 22:15,918
23/02/2017 22:30,918
23/02/2017 22:45,864
23/02/2017 23:00,864
23/02/2017 23:15,864
23/02/2017 23:30,864
23/02/2017 23:45,837
24/02/2017 00:00,810
